age,gender,education_level,ride_drinking_driver,school_safety_concern,threatened_at_school,fight_count,school_fight_count,neighborhood_violence,sexual_violence,school_racism,school_bullying,cyber_bullying,feel_hopeless,considered_suicide,first_alcohol,alcohol_frequency,hardcore_alcohol_frequency,drinking_in_a_row,exercise,social_media,mental_health,hours_of_sleep,sleep_place,grade,parent_emotional_abuse,parent_physical_abuse,parent_abuse_parent,parent_uses_alcohol,parent_mental_illness,incarcerated_parent,have_friend,parent_monitoring,unfair_discipline_school,ADHD
16.0,Female,10th grade,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,13.0,4.0,0.0,1.0,2.0,5.0,3.0,6.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
16.0,Female,10th grade,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,0.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,Home of parent or gaurdian,4.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0
17.0,Female,10th grade,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Yes,0.0,0.0,0.0,0.0,2.0,7.0,3.0,6.0,Home of parent or gaurdian,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0
18.0,Male,12th grade,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,7.0,4.0,2.0,6.0,Home of parent or gaurdian,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17.0,Male,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,8.0,0.0,0.0,0.0,7.0,6.0,2.0,8.0,Home of parent or gaurdian,3.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0
18.0,Female,11th grade,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,No,0.0,0.0,0.0,0.0,6.0,7.0,0.0,4.0,Home of other people,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
16.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,No,13.0,7.0,0.0,1.0,3.0,7.0,0.0,6.0,Home of parent or gaurdian,3.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0
17.0,Male,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0,7.0,6.0,2.0,5.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0
16.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Yes,8.0,0.0,0.0,0.0,2.0,5.0,3.0,5.0,Home of parent or gaurdian,3.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0
18.0,Male,12th grade,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0,4.0,5.0,1.0,5.0,Home of parent or gaurdian,4.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0
16.0,Male,10th grade,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,No,0.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,Home of parent or gaurdian,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0
18.0,Female,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes,0.0,0.0,0.0,0.0,2.0,7.0,2.0,5.0,Home of parent or gaurdian,2.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0
15.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,15.0,4.0,2.0,6.0,5.0,5.0,2.0,8.0,Home of parent or gaurdian,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0
18.0,Male,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,1.0,6.0,0.0,8.0,Home of parent or gaurdian,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
16.0,Female,10th grade,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,6.0,6.0,1.0,6.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0
18.0,Female,12th grade,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,Yes,13.0,0.0,0.0,0.0,1.0,7.0,3.0,4.0,Home of parent or gaurdian,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0
17.0,Female,10th grade,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,Yes,15.0,0.0,0.0,0.0,5.0,7.0,3.0,6.0,Home of parent or gaurdian,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0
17.0,Female,11th grade,4.0,0.0,6.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,Yes,11.0,14.0,14.0,10.0,1.0,7.0,4.0,4.0,Home of parent or gaurdian,0.0,4.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0
18.0,Female,12th grade,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,2.0,0.0,0.0,1.0,No,11.0,4.0,0.0,0.0,4.0,5.0,1.0,8.0,Home of other people,4.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
18.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Yes,11.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,Home of parent or gaurdian,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0
16.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,2.0,7.0,4.0,5.0,Home of parent or gaurdian,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
17.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,11.0,0.0,0.0,0.0,7.0,5.0,4.0,5.0,Home of parent or gaurdian,4.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,1.0
16.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,Home of parent or gaurdian,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
17.0,Female,11th grade,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,13.0,0.0,0.0,0.0,5.0,7.0,3.0,6.0,Somewhere else,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0
16.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Yes,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,Home of parent or gaurdian,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0
16.0,Female,10th grade,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,Yes,11.0,0.0,0.0,0.0,2.0,7.0,4.0,4.0,Home of parent or gaurdian,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
17.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
18.0,Female,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,13.0,0.0,0.0,0.0,3.0,5.0,3.0,7.0,Home of parent or gaurdian,4.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0
17.0,Male,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,15.0,0.0,0.0,0.0,0.0,6.0,1.0,8.0,Home of parent or gaurdian,3.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0
17.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,2.0,5.0,0.0,7.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
15.0,Female,10th grade,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0,2.0,7.0,3.0,7.0,Home of parent or gaurdian,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0
16.0,Female,10th grade,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Yes,13.0,0.0,0.0,0.0,5.0,5.0,4.0,7.0,Home of parent or gaurdian,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
18.0,Male,12th grade,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No,17.0,0.0,0.0,0.0,4.0,5.0,2.0,5.0,Home of parent or gaurdian,3.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0
16.0,Female,10th grade,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,Yes,13.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,Home of parent or gaurdian,3.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0
16.0,Male,10th grade,0.0,0.0,4.0,2.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,Yes,8.0,0.0,0.0,0.0,0.0,7.0,4.0,5.0,Home of parent or gaurdian,1.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
18.0,Male,12th grade,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,9.0,0.0,0.0,0.0,7.0,5.0,3.0,4.0,Home of parent or gaurdian,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0
16.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Yes,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,Home of parent or gaurdian,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0
17.0,Female,11th grade,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,15.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,Home of parent or gaurdian,4.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0
17.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,15.0,0.0,0.0,0.0,7.0,3.0,2.0,6.0,Motel or hotel,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
17.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0,4.0,7.0,3.0,6.0,Home of parent or gaurdian,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
17.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,Yes,13.0,0.0,0.0,0.0,5.0,5.0,3.0,7.0,Home of parent or gaurdian,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0
15.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0
16.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,9.0,0.0,0.0,0.0,2.0,6.0,0.0,5.0,Home of parent or gaurdian,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
15.0,Male,9th grade,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,No,15.0,0.0,0.0,0.0,7.0,7.0,1.0,9.0,Home of parent or gaurdian,4.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0
16.0,Female,11th grade,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,No,0.0,0.0,0.0,0.0,1.0,7.0,3.0,7.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
17.0,Female,12th grade,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,No,15.0,0.0,0.0,0.0,5.0,5.0,2.0,7.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0
14.0,Female,9th grade,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes,0.0,0.0,0.0,0.0,2.0,5.0,3.0,6.0,Home of parent or gaurdian,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
17.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,15.0,0.0,0.0,0.0,5.0,5.0,2.0,9.0,Home of parent or gaurdian,4.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0
16.0,Male,10th grade,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,No,0.0,0.0,0.0,0.0,7.0,4.0,1.0,8.0,Home of parent or gaurdian,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
17.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,4.0,5.0,1.0,7.0,Home of parent or gaurdian,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
15.0,Male,9th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,7.0,7.0,1.0,6.0,Home of parent or gaurdian,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0
16.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,No,8.0,0.0,0.0,0.0,0.0,7.0,2.0,7.0,Home of parent or gaurdian,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
18.0,Male,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,17.0,0.0,0.0,0.0,6.0,5.0,1.0,7.0,Home of parent or gaurdian,4.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0
18.0,Female,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,15.0,0.0,0.0,3.0,7.0,5.0,1.0,7.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
15.0,Female,9th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,15.0,0.0,0.0,0.0,7.0,5.0,3.0,5.0,Home of parent or gaurdian,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0
17.0,Female,11th grade,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,13.0,0.0,0.0,0.0,5.0,7.0,2.0,9.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
15.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,Home of parent or gaurdian,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0
16.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,Home of parent or gaurdian,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
14.0,Female,9th grade,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,No,0.0,0.0,0.0,0.0,6.0,4.0,2.0,6.0,Home of parent or gaurdian,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
18.0,Male,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Yes,13.0,0.0,0.0,1.0,7.0,7.0,3.0,6.0,Home of parent or gaurdian,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0
17.0,Male,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes,0.0,0.0,0.0,0.0,7.0,7.0,2.0,7.0,Home of parent or gaurdian,4.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0
15.0,Female,9th grade,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes,0.0,0.0,0.0,0.0,5.0,0.0,3.0,8.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0
17.0,Male,11th grade,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No,0.0,0.0,0.0,0.0,7.0,5.0,4.0,7.0,Home of parent or gaurdian,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
16.0,Male,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,Home of parent or gaurdian,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
16.0,Male,10th grade,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,No,11.0,0.0,0.0,0.0,7.0,6.0,1.0,8.0,Home of parent or gaurdian,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
15.0,Female,9th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
17.0,unknown,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,9.0,0.0,1.0,5.0,3.0,5.0,4.0,5.0,Home of parent or gaurdian,3.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0
18.0,Female,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,15.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
15.0,Female,9th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes,15.0,0.0,0.0,1.0,5.0,5.0,4.0,6.0,Home of parent or gaurdian,2.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0
17.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,Yes,13.0,0.0,0.0,1.0,2.0,5.0,3.0,7.0,Home of parent or gaurdian,4.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0
16.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,0.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,Home of parent or gaurdian,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0
16.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,1.0,5.0,2.0,9.0,Home of parent or gaurdian,4.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0
16.0,Female,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,11.0,0.0,0.0,0.0,7.0,5.0,0.0,6.0,Home of parent or gaurdian,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
18.0,Female,12th grade,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,1.0,Yes,13.0,0.0,0.0,0.0,2.0,7.0,2.0,7.0,Home of parent or gaurdian,3.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0
15.0,Male,9th grade,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.0,0.0,0.0,6.0,7.0,1.0,6.0,Home of parent or gaurdian,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0
17.0,Female,11th grade,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,15.0,0.0,0.0,0.0,5.0,0.0,2.0,5.0,Home of parent or gaurdian,4.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0
15.0,Female,10th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
17.0,Male,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,15.0,0.0,0.0,1.0,6.0,7.0,1.0,7.0,Home of parent or gaurdian,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
18.0,Male,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,Home of parent or gaurdian,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
14.0,Female,9th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,5.0,5.0,1.0,8.0,Home of parent or gaurdian,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0
17.0,Female,11th grade,0.0,0.0,8.0,2.0,1.0,1.0,-1.0,4.0,1.0,1.0,1.0,Yes,15.0,7.0,7.0,6.0,7.0,5.0,3.0,6.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0
16.0,Female,10th grade,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Yes,13.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,Home of parent or gaurdian,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0
16.0,Male,10th grade,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,No,13.0,0.0,0.0,0.0,6.0,7.0,0.0,6.0,Home of parent or gaurdian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
15.0,Female,9th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,7.0,5.0,2.0,6.0,Home of parent or gaurdian,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0
17.0,Male,11th grade,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,No,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,Home of parent or gaurdian,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
18.0,Female,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,17.0,14.0,0.0,1.0,3.0,7.0,2.0,8.0,Home of parent or gaurdian,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
18.0,Male,12th grade,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,11.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,Home of parent or gaurdian,3.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0
17.0,Female,11th grade,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,No,0.0,0.0,0.0,0.0,4.0,7.0,2.0,7.0,Home of parent or gaurdian,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
16.0,Female,10th grade,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,Yes,13.0,0.0,1.0,8.0,3.0,7.0,3.0,5.0,Home of parent or gaurdian,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
16.0,Male,10th grade,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,11.0,14.0,4.0,10.0,7.0,7.0,1.0,8.0,Home of parent or gaurdian,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
14.0,Male,9th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,5.0,3.0,3.0,7.0,Home of parent or gaurdian,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
17.0,Male,11th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,13.0,0.0,0.0,0.0,5.0,5.0,1.0,6.0,Home of parent or gaurdian,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0
17.0,Female,12th grade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,13.0,0.0,1.0,5.0,0.0,7.0,4.0,7.0,Home of other people,4.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
